input,output
correct: استاد نے کلاس لیکچر دہرایا,استاد نے کلاس میں لیکچر دہرایا
correct: ڈین آفس حتمی طلبہ کو نے نتائج سے آگاہ کر دیا,ڈین آفس نے طلبہ کو حتمی نتائج سے آگاہ کر دیا
correct: میں نے لکھا ایگزام پیپر احتیاط سے,میں نے احتیاط سے ایگزام پیپر لکھا
correct: ہم نے کلائنٹ کو اپڈیٹ دیا,ہم نے کلائنٹ کو اپ ڈیٹ دیا
correct: سیاحوں نے پہاڑ چڑھا اور بہت تھک گئے لیکن خوش تھے,سیاح پہاڑ پر چڑھے اور بہت تھک گئے لیکن خوش تھے
correct: میں میں نے آج آج بہت اچھا محسوس کیا,میں نے آج بہت اچھا محسوس کیا
correct: ہم نے چھٹیاں انتخاب کے لیے ناران کا گزارنے کیا,ہم نے چھٹیاں گزارنے کے لیے ناران کا انتخاب کیا
correct: بچہ نے کھانا کھائی,بچے نے کھانا کھایا
correct: اس نے بار بی کیو کے لیے چکن میرینیٹ کیا کیا,اس نے بار بی کیو کے لیے چکن میرینیٹ کیا
correct: بینک دولت نے شرح سود اضافے کا اعلان کیا,بینک دولت نے شرح سود میں اضافے کا اعلان کیا
correct: میں نے دوپہر کے کھانے اس دال چاول کھائے,اس نے دوپہر کے کھانے میں دال چاول کھائے
correct: بیڈمنٹن کے کے کھلاڑی نے شاندار سروس کی,بیڈمنٹن کے کھلاڑی نے شاندار سروس کی
correct: انتخابی مہم مہم میں تمام جماعتیں بڑھ چڑھ کر حصہ لے رہی ہیں,انتخابی مہم میں تمام جماعتیں بڑھ چڑھ کر حصہ لے رہی ہیں
correct: بچوں کے لیے خصوصی کارٹون فلم ریلیز کی گئ,بچوں کے لیے خصوصی کارٹون فلم ریلیز کی گئی
correct: یہ ناول انسانی نفسیات اور سماجی رویوں کی باریک عکاسی نہایت خوبصورتی سے کرتا ہے,یہ ناول انسانی نفسیات اور سماجی رویوں کی خوبصورتی سے عکاسی کرتا ہے
correct: ہم نے ہم نے کل گھر گھر کی صفائی کی,ہم نے کل گھر کی صفائی کی
correct: میں نے سیکھا سبق محنت سے پورا,میں نے محنت سے پورا سبق سیکھا
